campaign;ad_group;match_type;phrase;region_layer;priority;intent;action
DT_Search_Hot_MSK_SPB;Производство мягких игрушек;exact;"производство мягких игрушек на заказ";Москва+СПБ;B;Может быть производственный B2B, но часть трафика ищет подрядчика пошива;Тестировать осторожно
DT_Search_Hot_MSK_SPB;Производство мягких игрушек;exact;"производство мягких игрушек на заказ оптом";Москва+СПБ;A;Оптовый заказ;Запускать
DT_Search_Hot_MSK_SPB;Изготовление мягких игрушек;exact;"изготовление мягких игрушек на заказ";Москва+СПБ;B;Целевой, но смешивается с индивидуальными заказами;Тестировать с минусами
DT_Search_Hot_MSK_SPB;Изготовление мягких игрушек;exact;"изготовление мягких игрушек на заказ москва";Москва;B;Региональный коммерческий интент;Тестировать
DT_Search_Hot_MSK_SPB;Пошив мягких игрушек;exact;"пошив мягких игрушек на заказ оптом";Москва+СПБ;B;Целевой, если ищут опт;Тестировать осторожно
DT_Search_Hot_MSK_SPB;Маскоты;exact;"маскот на заказ";Москва+СПБ;B;Смешанный интент: костюм, 3D, фигурка, персонаж;Только с уточнением в объявлении
DT_Search_Hot_MSK_SPB;Маскоты;exact;"маскот компании на заказ";Москва+СПБ;A;Более B2B, ближе к продукту;Запускать
DT_Search_Hot_MSK_SPB;Маскоты;exact;"мягкий маскот на заказ";Москва+СПБ;A;Прямое попадание в продукт;Запускать
DT_Search_Hot_MSK_SPB;Маскоты;exact;"игрушка маскот на заказ";Москва+СПБ;A;Прямое попадание в продукт;Запускать
DT_Search_Hot_MSK_SPB;Сувенирные игрушки;exact;"сувенирные игрушки с логотипом";Москва+СПБ;B;Близко к B2B, проверить цену клика;Тестировать
DT_Search_Hot_MSK_SPB;Игрушки с логотипом;exact;"игрушки с логотипом на заказ";Москва+СПБ;B;Шире продукта, может вести к ёлочным/антистресс;Тестировать с минусами
DT_Search_Regions_Test;Мягкие игрушки с логотипом;exact;"мягкие игрушки с логотипом на заказ";Россия без МСК/СПБ;A;Горячий запрос в регионах;Тест малым бюджетом
DT_Search_Regions_Test;Плюшевые игрушки с логотипом;exact;"плюшевые игрушки с логотипом на заказ";Россия без МСК/СПБ;A;Горячий запрос в регионах;Тест малым бюджетом
DT_Search_Regions_Test;Производство мягких игрушек;exact;"производство мягких игрушек на заказ оптом";Россия без МСК/СПБ;A;Оптовый заказ;Тест малым бюджетом
DT_Search_Regions_Test;Маскоты;exact;"маскот компании на заказ";Россия без МСК/СПБ;A;B2B интент;Тест малым бюджетом
NEGATIVE;Минус-слова;negative;"по фото";Все;A;Индивидуальные розничные заказы;Минусовать
NEGATIVE;Минус-слова;negative;"по фотографии";Все;A;Индивидуальные розничные заказы;Минусовать
NEGATIVE;Минус-слова;negative;"аниме";Все;A;Фанатские/розничные заказы;Минусовать
NEGATIVE;Минус-слова;negative;"сшить";Все;B;Может быть DIY/единичный заказ;Минусовать на старте
NEGATIVE;Минус-слова;negative;"выкройка";Все;A;DIY;Минусовать
NEGATIVE;Минус-слова;negative;"своими руками";Все;A;DIY;Минусовать
NEGATIVE;Минус-слова;negative;"мастер класс";Все;A;Информационный интент;Минусовать
NEGATIVE;Минус-слова;negative;"как сделать";Все;A;Информационный интент;Минусовать
NEGATIVE;Минус-слова;negative;"купить мягкую игрушку";Все;A;Розница;Минусовать
NEGATIVE;Минус-слова;negative;"магазин";Все;A;Розница;Минусовать
NEGATIVE;Минус-слова;negative;"озон";Все;A;Маркетплейс;Минусовать
NEGATIVE;Минус-слова;negative;"wildberries";Все;A;Маркетплейс;Минусовать
NEGATIVE;Минус-слова;negative;"wb";Все;A;Маркетплейс;Минусовать
NEGATIVE;Минус-слова;negative;"авито";Все;A;Доска/розница;Минусовать
NEGATIVE;Минус-слова;negative;"бесплатно";Все;A;Низкое качество;Минусовать
NEGATIVE;Минус-слова;negative;"промокод";Все;A;Не покупка производства;Минусовать
NEGATIVE;Минус-слова;negative;"скидка";Все;B;Цена-ориентированный шум;Минусовать на старте
NEGATIVE;Минус-слова;negative;"детские";Все;B;Розница/детские товары;Минусовать осторожно
NEGATIVE;Минус-слова;negative;"елочные";Все;A;Другой продукт;Минусовать
NEGATIVE;Минус-слова;negative;"новогодние";Все;B;Другой продукт, включать только отдельной сезонной кампанией;Минусовать на старте
NEGATIVE;Минус-слова;negative;"фигурка";Все;B;Другой продукт, если не хотим 3D-фигурки;Минусовать в группе маскотов осторожно
NEGATIVE;Минус-слова;negative;"3d";Все;B;Другой продукт;Минусовать в группе маскотов
NEGATIVE;Минус-слова;negative;"3д";Все;B;Другой продукт;Минусовать в группе маскотов
